nov-02;8,77;9,00
nov-02;8,80;9,00
nov-02;8,92;9,00
nov-02;9,12;9,50
nov-02;9,39;9,81
nov-02;9,51;9,81
nov-02;9,58;9,81
nov-02;9,70;9,81
nov-02;9,78;9,81
nov-02;10,00;9,96
nov-02;10,45;10,00
nov-02;10,65;10,40
nov-02;10,70;10,40
nov-02;10,76;10,44
nov-02;11,00;10,68
dez-02;11,03;10,68
dez-02;11,13;10,50
dez-02;11,20;10,50
dez-02;11,36;10,86
dez-02;11,63;10,83
dez-02;11,63;10,83
dez-02;11,74;10,80
dez-02;11,76;10,80
dez-02;11,87;10,99
dez-02;12,12;11,00
dez-02;12,20;11,00
dez-02;12,20;11,00
dez-02;12,30;11,00
dez-02;12,31;11,00
dez-02;12,46;11,00
dez-02;12,49;11,00
dez-02;12,49;11,00
dez-02;12,49;11,00
dez-02;12,53;11,00
dez-02;12,53;11,00
dez-02;12,56;11,00
