Data;Número de dias úteis - - - Instituto de Pesquisa Econômica Aplicada (IPEA) - SGS12_NDIASUTEISPAS12;
2002.09;21;
2002.10;23;
2002.11;20;
2002.12;21;
2003.01;22;
2003.02;20;
2003.03;20;
2003.04;20;
2003.05;21;
2003.06;20;
2003.07;23;
2003.08;21;
2003.09;22;
2003.10;23;
2003.11;20;
2003.12;22;
2004.01;21;
2004.02;19;
2004.03;23;
2004.04;20;
2004.05;21;
2004.06;21;
2004.07;22;
2004.08;22;
2004.09;21;
2004.10;20;
2004.11;20;
2004.12;23;
2005.01;21;
2005.02;19;
2005.03;22;
2005.04;20;
2005.05;21;
2005.06;22;
2005.07;21;
2005.08;23;
2005.09;21;
2005.10;20;
2005.11;20;
2005.12;22;
2006.01;22;
2006.02;19;
2006.03;23;
2006.04;18;
2006.05;22;
2006.06;21;
2006.07;21;
2006.08;23;
2006.09;20;
2006.10;21;
2006.11;20;
2006.12;20;
2007.01;22;
2007.02;19;
2007.03;22;
2007.04;20;
2007.05;22;
2007.06;20;
2007.07;22;
2007.08;23;
2007.09;19;
2007.10;22;
2007.11;20;
2007.12;20;
2008.01;22;
2008.02;20;
2008.03;20;
2008.04;21;
2008.05;20;
2008.06;21;
2008.07;23;
2008.08;21;
2008.09;22;
2008.10;23;
2008.11;20;
2008.12;22;
2009.01;21;
2009.02;19;
2009.03;22;
2009.04;20;
2009.05;20;
2009.06;21;
2009.07;23;
2009.08;21;
2009.09;21;
2009.10;21;
2009.11;20;
2009.12;22;
2010.01;20;
2010.02;19;
2010.03;23;
2010.04;20;
2010.05;21;
2010.06;21;
2010.07;22;
2010.08;22;
2010.09;21;
2010.10;20;
2010.11;20;
2010.12;23;
2011.01;21;
2011.02;20;
2011.03;22;
2011.04;19;
2011.05;22;
2011.06;21;
2011.07;21;
2011.08;23;
2011.09;21;
2011.10;20;
2011.11;20;
2011.12;22;
2012.01;22;
2012.02;20;
2012.03;22;
2012.04;20;
2012.05;22;
2012.06;20;
2012.07;22;
2012.08;23;
2012.09;19;
2012.10;22;
2012.11;20;
2012.12;20;
2013.01;22;
2013.02;19;
2013.03;20;
2013.04;22;
2013.05;21;
2013.06;20;
2013.07;23;
2013.08;22;
2013.09;21;
2013.10;23;
2013.11;20;
2013.12;21;
2014.01;22;
2014.02;20;
2014.03;20;
2014.04;20;
2014.05;21;
2014.06;20;
2014.07;23;
2014.08;21;
2014.09;22;
2014.10;23;
2014.11;20;
2014.12;22;
2015.01;21;
2015.02;19;
2015.03;22;
2015.04;20;
2015.05;20;
2015.06;21;
2015.07;23;
2015.08;21;
2015.09;21;
2015.10;21;
2015.11;20;
2015.12;22;
2016.01;20;
2016.02;20;
2016.03;22;
2016.04;20;
2016.05;21;
2016.06;22;
2016.07;21;
2016.08;23;
2016.09;21;
2016.10;20;
2016.11;20;
2016.12;22;
2017.01;22;
2017.02;19;
2017.03;23;
2017.04;18;
2017.05;22;
2017.06;21;
2017.07;21;
2017.08;23;
2017.09;20;
2017.10;21;
2017.11;20;
2017.12;20;
2018.01;22;
2018.02;19;
2018.03;21;
2018.04;21;
2018.05;22;
2018.06;21;
2018.07;22;
2018.08;23;
2018.09;19;
2018.10;22;
2018.11;20;
2018.12;20;
